L26_V426,1414,2827,4240,5654
L26_V208,1728,2592,3456,6279
L26_V061,930,1395,1860,3918
L26_V437,1049,1573,2097,4528
L26_V091,1184,2368,3552,4736
L26_V439,2253,3380,4506,4864
L26_V177,2619,3928,5237,5376
L26_V370,335,502,669,5032
L26_V095,1288,1932,2576,4339
L26_V205,2576,3864,5152,7168
L26_V084,1957,2936,3915,3968
L26_V313,3289,4934,6579,6584
L26_V441,1792,2688,3584,3711
L26_V112,992,1984,2976,3968
L26_V450,773,1547,2320,3093
L26_V086,1069,2137,3206,4275
L26_V353,1088,2176,3264,4352
L26_V495,2155,3233,4311,4464
L26_V465,3038,4557,6076,6432
L26_V267,1849,2773,3697,3711
L26_V448,1101,2202,3303,4404
L26_V261,949,1424,1898,2688
L26_V263,2078,3117,4156,4530
L26_V274,1187,2375,3562,4749
L26_V197,1751,2627,3503,3584
L26_V446,1100,2199,3298,4398
L26_V287,2944,5120,5248,5888
L26_V455,2253,3380,4507,4622
L26_V427,812,1625,2438,3250
L26_V311,2432,3502,4573,4608
L26_V194,896,1344,1792,6379
L26_V081,2240,3360,4480,6272
L26_V240,256,512,768,1024
L26_V429,736,1472,2208,2944
L26_V385,2400,3200,3925,4864
L26_V052,2432,3648,4864,5696
L26_V144,992,1984,2976,3968
L26_V466,3328,4438,6111,6471
L26_V203,2702,4053,5404,6069
L26_V241,3552,4736,5162,5792
L26_V308,1287,2574,3861,5148
L26_V155,2782,3968,4992,6016
L26_V408,3072,5378,5954,6529
L26_V282,478,957,1436,1914
L26_V154,415,830,1245,1660
L26_V217,1248,1664,3264,4864
L26_V243,1185,2369,3554,4739
L26_V265,2432,6242,6698,7153
L26_V453,1284,2567,3850,5134
L26_V480,1127,2255,3382,4509
L26_V306,611,1223,1834,2445
L26_V414,376,564,752,2484
L26_V335,1573,2360,3147,4280
L26_V179,3247,3675,4104,5062
L26_V403,2614,2688,2763,2837
L26_V185,1280,2560,3840,5120
L26_V159,1376,2752,4128,5504
L26_V364,1352,2705,4057,5409
L26_V272,5120,5760,6400,7040
L26_V299,2614,2688,2763,2837
L26_V369,2028,2144,2260,2376
L26_V284,1422,2843,4264,5686
L26_V433,1088,2176,3264,4352
L26_V254,1024,2048,3072,4096
L26_V358,4416,5888,6304,6720
L26_V118,3202,4269,5218,6167
L26_V352,3354,4436,5517,6598
L26_V479,2166,3516,4865,6214
L26_V290,1343,2014,2685,3966
L26_V223,640,960,1280,2880
L26_V413,3328,4288,5248,6208
L26_V192,2400,3200,4384,5568
L26_V221,1337,2006,2675,3862
L26_V388,1536,2304,3072,4192
L26_V199,2769,4154,5538,6138
L26_V025,4140,5062,5985,6908
L26_V206,1157,1735,2313,3719
L26_V184,3681,4908,5665,6422
L26_V247,3936,5248,5920,6592
L26_V389,3338,4451,5226,6001
L26_V484,2840,4260,5680,6151
L26_V104,4170,5560,6218,6876
L26_V262,1536,2048,3520,4992
L26_V213,1157,1735,2313,3655
L26_V232,3185,4778,6370,6794
L26_V178,1637,2456,3274,4504
L26_V219,2112,3168,4224,5152
L26_V469,3135,4702,6270,6624
L26_V270,2931,4396,5861,6380
L26_V093,2945,4418,5890,6434
L26_V471,3100,4650,6200,6572
L26_V256,1601,2401,3201,4385
L26_V147,1777,2666,3554,4682
L26_V012,2706,3608,4900,6192
L26_V278,2048,3072,4096,5088
L26_V245,2944,4416,5888,6400
L26_V210,3841,5121,5825,6529
L26_V198,2059,3089,4119,5041
L26_V231,1152,1728,2304,3712
L26_V496,3255,4340,5177,6014
