L30_V072,1745,Giang Ly
L30_V072,1776,Giang Ly
L30_V072,1792,Giang Ly
L30_V072,1646,Giang Ly
L30_V072,1848,Giang Ly
L30_V072,1627,Giang Ly
L30_V072,1904,Giang Ly
L30_V072,1561,Giang Ly
L30_V072,1962,Giang Ly
L30_V072,1520,Giang Ly
L30_V072,1496,Giang Ly
L21_V018,8220,Giang Ly
L30_V073,4986,Giang Ly
L30_V055,570,Giang Ly
L21_V018,5608,Giang Ly
L30_V083,6573,Giang Ly
L22_V029,5481,Giang Ly
L30_V091,409,Giang Ly
L27_V013,5670,Giang Ly
L30_V050,3286,Giang Ly
L30_V083,2773,Giang Ly
L30_V027,5132,Giang Ly
L30_V064,3529,Giang Ly
L30_V083,6625,Giang Ly
L30_V096,290,Giang Ly
L21_V014,7974,Giang Ly
L30_V091,3869,Giang Ly
L28_V010,19305,Giang Ly
L22_V004,19083,Giang Ly
L30_V091,6455,Giang Ly
L22_V029,4598,Giang Ly
L30_V091,4963,Giang Ly
L30_V064,6659,Giang Ly
L21_V014,21482,Giang Ly
L21_V018,8208,Giang Ly
L21_V007,2067,Giang Ly
L30_V055,1743,Giang Ly
L28_V007,24165,Giang Ly
L21_V024,24625,Giang Ly
L21_V016,10797,Giang Ly
L22_V016,840,Giang Ly
L22_V027,10226,Giang Ly
L30_V021,1231,Giang Ly
L22_V013,23880,Giang Ly
L28_V001,23760,Giang Ly
L28_V007,11745,Giang Ly
L21_V007,5012,Giang Ly
L22_V012,13362,Giang Ly
L22_V031,11713,Giang Ly
L21_V009,27868,Giang Ly
L30_V076,3226,Giang Ly
L21_V016,9036,Giang Ly
L30_V021,2525,Giang Ly
L30_V020,429,Giang Ly
L30_V042,2626,Giang Ly
L30_V021,2852,Giang Ly
L21_V002,11058,Giang Ly
L27_V007,14715,Giang Ly
L30_V073,4570,Giang Ly
L22_V016,10170,Giang Ly
L30_V091,4038,Giang Ly
L30_V019,2384,Giang Ly
L30_V073,4586,Giang Ly
L21_V018,5758,Giang Ly
L29_V020,24165,Giang Ly
L22_V018,17700,Giang Ly
L30_V081,421,Giang Ly
L30_V083,2261,Giang Ly
L21_V002,10779,Giang Ly
L30_V081,3628,Giang Ly
L21_V008,26094,Giang Ly
L22_V011,15125,Giang Ly
L21_V018,6900,Giang Ly
L30_V092,2296,Giang Ly
L21_V006,8649,Giang Ly
L21_V026,9864,Giang Ly
L30_V083,3621,Giang Ly
L22_V012,12977,Giang Ly
L21_V014,15015,Giang Ly
L22_V015,9858,Giang Ly
L22_V026,10481,Giang Ly
L30_V081,4248,Giang Ly
L22_V026,19833,Giang Ly
L30_V021,2846,Giang Ly
L30_V066,6925,Giang Ly
L22_V010,2910,Giang Ly
L30_V034,419,Giang Ly
L22_V026,10511,Giang Ly
L22_V026,21657,Giang Ly
L22_V031,9456,Giang Ly
L22_V001,4673,Giang Ly
L28_V010,8910,Giang Ly
L21_V007,24099,Giang Ly
L30_V021,434,Giang Ly
L22_V031,11223,Giang Ly
L22_V004,867,Giang Ly
L22_V026,19743,Giang Ly
L30_V021,2632,Giang Ly
L22_V011,15155,Giang Ly
L22_V031,9339,Giang Ly
