L21_V017,17010
L22_V012,23799
L22_V018,25115
L21_V005,7781
L22_V005,9248
L22_V018,7643
L22_V006,25313
L21_V005,6530
L21_V008,10345
L21_V001,32076
L22_V018,24351
L21_V014,30477
L22_V023,8091
L22_V022,25865
L21_V001,10908
L21_V014,29954
L22_V018,7601
L21_V027,33033
L21_V007,4142
L22_V024,9608
L22_V010,18968
L22_V022,16871
L21_V019,6663
L22_V011,12933
L21_V001,32622
L21_V017,16620
L21_V001,31290
L22_V022,26433
L21_V005,7914
L22_V012,23570
L21_V013,23382
L27_V013,184
L22_V018,24527
L21_V001,32531
L22_V022,26631
L22_V003,12210
L22_V022,17550
L21_V013,10224
L21_V023,25701
L22_V022,25512
L30_V071,426
L22_V024,10072
L27_V002,184
L22_V017,14516
L22_V012,24045
L21_V017,18572
L28_V002,8235
L22_V017,14594
L29_V021,17415
L27_V001,184
L27_V003,184
L21_V027,32529
L22_V009,23310
L21_V027,32075
L21_V018,26645
L21_V013,9399
L21_V008,16830
L21_V005,7530
L27_V005,9180
L22_V012,15363
L21_V003,5400
L27_V010,184
L27_V012,184
L27_V015,184
L22_V003,12120
L28_V002,8640
L22_V013,15990
L21_V014,30435
L22_V018,5739
L21_V003,6929
L21_V008,16569
L27_V009,184
L21_V008,16998
L28_V002,7965
L28_V002,8370
L28_V002,8505
L27_V011,184
L21_V014,30657
L27_V014,184
L27_V007,184
L28_V024,23085
L21_V014,30044
L21_V001,31380
L21_V024,5890
L22_V030,450
L21_V001,34272
L22_V015,34646
L21_V014,9867
L27_V008,86
L22_V022,17961
L27_V006,184
L22_V009,23700
L22_V025,16859
L21_V001,22584
L21_V022,19302
L27_V008,184
L27_V013,86
L21_V001,31560
L22_V023,6967
L22_V009,3660
