L21_V011,5158
L21_V017,5556
L21_V019,8087
L22_V025,29577
L21_V021,9105
L21_V017,6123
L21_V019,7848
L21_V017,5911
L21_V019,8691
L22_V025,28388
L21_V013,5138
L21_V019,8766
L21_V017,6060
L22_V025,28640
L21_V028,10854
L21_V011,5425
L22_V026,12639
L21_V013,666
L21_V013,5078
L21_V019,8856
L21_V011,7994
L21_V017,5357
L22_V003,16269
L21_V017,5420
L22_V002,13794
L21_V021,9417
L22_V003,16344
L22_V003,15838
L21_V010,27377
L21_V019,7923
L21_V011,18652
L21_V017,5465
L21_V023,10922
L22_V031,18178
L22_V025,29057
L27_V009,78
L21_V029,6246
L27_V010,78
L27_V001,78
L21_V026,7529
L21_V017,587
L22_V026,12023
L27_V007,78
L21_V011,5070
L30_V068,409
L27_V016,78
L27_V004,78
L27_V002,3153
L27_V003,78
L27_V008,78
L27_V006,78
L27_V005,78
L27_V013,78
L27_V015,78
L27_V005,7559
L27_V012,78
L27_V002,78
L27_V011,78
L27_V014,78
L22_V025,24581
L22_V025,24458
L21_V021,9162
L22_V008,21633
L27_V002,2970
L22_V025,28817
L22_V025,28490
L27_V005,7484
L21_V017,6197
L22_V025,28230
L21_V011,10337
L22_V001,3857
L21_V011,5874
L21_V029,5984
L21_V017,6450
L21_V018,8867
L22_V003,15749
L21_V007,6092
L21_V019,8946
L21_V019,9146
L27_V012,2700
L21_V011,10273
L22_V017,23088
L27_V005,14850
L21_V001,3348
L21_V030,15684
L21_V011,5880
L22_V009,17923
L22_V011,13958
L22_V014,4521
L29_V023,22005
L22_V018,7794
L21_V013,4836
L21_V008,20374
L21_V011,10780
L21_V007,7482
L22_V025,24665
L29_V009,2966
L21_V021,9723
L22_V025,29634
L21_V010,26598
