L27_V010,3943,không rõ
L27_V010,8145,không rõ
L28_V020,7695,không rõ
L27_V010,6345,không rõ
L27_V010,6172,không rõ
L27_V010,8235,không rõ
L27_V010,6210,không rõ
L27_V010,8775,không rõ
L22_V019,17624,không rõ
L27_V010,832,không rõ
L22_V016,2088,không rõ
L28_V007,667,không rõ
L28_V021,743,không rõ
L21_V010,4950,không rõ
L28_V001,20385,không rõ
L28_V016,589,không rõ
L27_V010,8721,không rõ
L28_V010,550,không rõ
L28_V003,667,không rõ
L21_V015,30767,không rõ
L27_V010,7531,không rõ
L28_V012,590,không rõ
L28_V024,729,không rõ
L28_V012,1855,không rõ
L22_V023,5604,không rõ
L30_V076,3226,không rõ
L30_V076,3202,không rõ
L30_V096,290,không rõ
L27_V010,8781,không rõ
L28_V008,728,không rõ
L29_V007,4969,không rõ
L22_V019,18795,không rõ
L28_V001,20520,không rõ
L28_V008,729,không rõ
L27_V010,4805,không rõ
L22_V001,462,không rõ
L28_V012,17713,không rõ
L28_V010,155,không rõ
L22_V001,2010,không rõ
L29_V007,19575,không rõ
L28_V018,589,không rõ
L28_V016,135,không rõ
L27_V010,944,không rõ
L28_V013,729,không rõ
L28_V017,135,không rõ
L27_V010,4350,không rõ
L27_V003,13769,không rõ
L21_V012,9723,không rõ
L27_V001,3915,không rõ
L28_V002,328,không rõ
L28_V012,22843,không rõ
L28_V002,8640,không rõ
L22_V018,35427,không rõ
L28_V016,337,không rõ
L22_V004,7250,không rõ
L28_V007,13982,không rõ
L29_V015,703,không rõ
L22_V011,15125,không rõ
L27_V007,6884,không rõ
L28_V018,337,không rõ
L29_V010,2748,không rõ
L21_V001,2217,không rõ
L21_V028,10935,không rõ
L28_V012,17890,không rõ
L22_V009,23160,không rõ
L27_V009,14175,không rõ
L29_V019,703,không rõ
L28_V015,263,không rõ
L28_V020,491,không rõ
L27_V008,810,không rõ
L28_V004,667,không rõ
L22_V016,2500,không rõ
L28_V010,298,không rõ
L27_V010,3540,không rõ
L29_V010,2835,không rõ
L28_V017,337,không rõ
L30_V045,508,không rõ
L30_V074,6042,không rõ
L28_V017,589,không rõ
L29_V007,5428,không rõ
L28_V013,728,không rõ
L28_V020,7559,không rõ
L28_V015,743,không rõ
L29_V011,703,không rõ
L28_V018,16172,không rõ
L22_V003,9150,không rõ
L28_V004,15063,không rõ
L28_V012,135,không rõ
L26_V136,2688,không rõ
L29_V007,14216,không rõ
L28_V011,11748,không rõ
L21_V002,28395,không rõ
L28_V007,666,không rõ
L28_V017,7779,không rõ
L29_V014,703,không rõ
L28_V003,13365,không rõ
L28_V016,24517,không rõ
L29_V012,3915,không rõ
L29_V004,6210,không rõ
L28_V003,666,không rõ
