L26_V230,3647,3711,4065,4158
L26_V461,3639,3671,3890,4099
L26_V329,544,1088,1632,2176
L26_V214,704,1056,1408,2443
L26_V437,512,1024,1536,2048
L26_V039,1080,1620,2160,2568
L26_V395,576,1152,1728,2304
L26_V497,434,868,1302,1736
L26_V157,480,960,1440,1920
L26_V421,1664,1792,2577,3344
L26_V379,2688,3072,3109,3145
L26_V385,1824,2432,2944,3840
L26_V390,864,1728,2592,3456
L26_V192,640,768,3200,5446
L26_V457,2976,3968,4608,4620
L26_V374,352,704,1056,1408
L26_V333,1423,1897,2944,4128
L26_V285,1378,2067,2756,4083
L26_V180,1062,1416,1466,3020
L26_V420,1071,1606,2142,3494
L26_V451,927,1390,1854,3438
L26_V213,1408,2112,2816,4032
L26_V447,1408,2112,2816,4096
L26_V300,2774,3699,3711,4735
L26_V427,3906,3968,4224,5088
L26_V342,2000,2666,2688,3936
L26_V164,1920,2880,3840,4864
L26_V405,1152,1728,2304,3648
L26_V445,2388,3184,3200,4480
L26_V483,1116,1674,2232,3596
L26_V177,1437,2155,2873,4139
L26_V369,1440,1920,3263,4335
L26_V262,1728,2304,2560,3904
L26_V341,1205,1808,2410,3728
L26_V426,1728,2304,2342,3676
L26_V462,960,1280,2688,3872
L26_V094,1472,2208,2944,4192
L26_V151,919,1379,1839,3427
L26_V072,868,2232,3596,4340
L26_V095,1932,2576,3948,5320
L26_V364,2496,3328,4352,5376
L26_V495,1085,1627,2169,4393
L26_V227,1645,2193,3661,5129
L26_V139,943,1414,1886,3430
L26_V186,1739,2609,3479,4593
L26_V142,192,288,384,5988
L26_V380,2193,3289,4385,5177
L26_V238,1780,2176,3552,4928
L26_V220,2368,3552,4736,5106
L26_V087,2299,2398,3782,5167
L26_V198,794,1191,1588,5256
L26_V249,2016,2688,3968,5248
L26_V496,2199,3047,3896,4744
L26_V448,3456,4108,4759,5411
L26_V203,2566,3512,4458,5404
L26_V336,2570,3427,4458,5489
L26_V183,1408,2112,2816,4128
L26_V439,1216,2432,3648,4864
L26_V015,1823,2734,3645,5029
L26_V012,405,608,810,2801
L26_V027,1687,2531,3375,4573
L26_V431,896,1344,1792,3360
L26_V056,1216,1824,2432,3808
L26_V250,2026,2701,4010,5319
L26_V378,1152,1728,2304,3648
L26_V358,1472,2944,4416,5888
L26_V303,1408,2816,4224,5632
L26_V292,1039,1558,2077,3606
L26_V359,2955,3940,4875,5810
L26_V484,1488,2976,4464,5952
L26_V424,2325,3100,4213,5326
L26_V443,1728,2304,3808,5312
L26_V232,338,677,1015,1353
L26_V294,1161,1741,2321,3725
L26_V404,1664,2496,3328,4416
L26_V061,2418,3224,4433,5642
L26_V127,1216,1824,2432,3840
L26_V472,806,1612,2418,3224
L26_V261,672,1344,2016,2688
L26_V339,4608,5344,6080,6816
L26_V038,945,1417,1889,3374
L26_V454,832,1664,2496,3328
L26_V287,1312,2624,3936,5248
L26_V458,2595,3738,4881,6025
L26_V171,1911,3417,4923,6430
L26_V286,1065,1598,2130,3614
L26_V267,1056,2112,3168,4224
L26_V205,1288,2576,3864,5152
L26_V478,587,1174,1761,2348
L26_V305,1152,1728,2304,3712
L26_V226,1284,2568,3852,5136
L26_V332,4541,5294,6047,6799
L26_V307,1014,2027,3040,4054
L26_V312,2176,3616,5056,6496
L26_V499,5952,6386,6820,7254
L26_V386,1152,2304,3456,4608
L26_V206,616,1233,1849,2465
L26_V188,790,1579,2368,3158
L26_V193,704,1408,2112,2816
L26_V240,322,643,964,1286
