L26_V181,1822,không rõ
L26_V180,2048,không rõ
L22_V007,9406,không rõ
L26_V008,1889,không rõ
L26_V430,7423,không rõ
L26_V032,675,không rõ
L26_V021,3240,không rõ
L26_V465,4750,không rõ
L26_V336,1830,không rõ
L26_V342,3654,không rõ
L26_V491,2404,không rõ
L26_V205,1152,không rõ
L26_V220,4543,không rõ
L26_V145,7168,không rõ
L26_V465,2535,không rõ
L26_V356,6912,không rõ
L26_V205,1099,không rõ
L26_V149,6912,không rõ
L26_V332,6601,không rõ
L26_V475,4264,không rõ
L26_V319,3207,không rõ
L26_V365,2952,không rõ
L26_V155,5888,không rõ
L26_V192,5446,không rõ
L26_V192,3200,không rõ
L26_V467,4539,không rõ
L26_V465,3124,không rõ
L26_V167,3567,không rõ
L26_V242,2432,không rõ
L26_V266,2557,không rõ
L26_V465,3493,không rõ
L26_V465,3120,không rõ
L26_V435,7423,không rõ
L26_V255,5753,không rõ
L28_V017,15732,không rõ
L26_V181,3847,không rõ
L26_V422,3726,không rõ
L26_V312,2957,không rõ
L26_V265,2449,không rõ
L26_V453,5292,không rõ
L26_V467,5514,không rõ
L26_V253,3072,không rõ
L26_V205,2516,không rõ
L26_V475,3968,không rõ
L26_V427,6016,không rõ
L26_V492,1726,không rõ
L22_V007,9467,không rõ
L26_V259,3445,không rõ
L29_V022,23625,không rõ
L26_V246,5448,không rõ
L26_V333,347,không rõ
L26_V255,3318,không rõ
L26_V428,7168,không rõ
L26_V499,5952,không rõ
L26_V178,3274,không rõ
L26_V472,7316,không rõ
L26_V205,4045,không rõ
L26_V422,5577,không rõ
L26_V429,3003,không rõ
L30_V019,727,không rõ
L26_V475,3596,không rõ
L26_V259,4866,không rõ
L26_V481,2480,không rõ
L26_V333,525,không rõ
L26_V462,3328,không rõ
L26_V167,3738,không rõ
L26_V203,5404,không rõ
L26_V367,4736,không rõ
L26_V167,3357,không rõ
L26_V475,3811,không rõ
L26_V332,6784,không rõ
L26_V367,2444,không rõ
L26_V353,6656,không rõ
L26_V328,6656,không rõ
L26_V368,3072,không rõ
L22_V027,20489,không rõ
L26_V422,4992,không rõ
L26_V367,6656,không rõ
L26_V203,2566,không rõ
L26_V401,4682,không rõ
L26_V021,3167,không rõ
L26_V366,2307,không rõ
L26_V414,3328,không rõ
L26_V192,5738,không rõ
L26_V008,944,không rõ
L26_V487,2108,không rõ
L26_V457,7295,không rõ
L26_V403,1920,không rõ
L26_V401,3847,không rõ
L26_V192,6823,không rõ
L26_V081,6784,không rõ
L26_V139,3703,không rõ
L26_V220,5106,không rõ
L26_V397,3183,không rõ
L26_V401,3449,không rõ
L26_V203,7040,không rõ
L26_V168,7295,không rõ
L26_V170,5151,không rõ
L26_V289,4992,không rõ
L26_V181,1616,không rõ
